Комментарий String; ФИО String; Рейтинг Float; Рейтинг Float; Рейтинг Float; Кол-во_проектов Integer; Дата_рождения Date; Рейтинг Float; ФИО String; Комментарий String; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 8,19; 3,9; 9,9; 40; 01.11.2019; 4,5; Сидорова Екатерина Ивановна; Задача организации, в особенно; 
Разнообразный и богатый опыт п; Петрова Дарина Семёновна; 6,27; 2,04; 3,89; 26; 27.09.1980; 1,0; Зайцева Арина Давидовна; Таким образом, постоянное инфо; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 3,35; 9,69; 6,9; 57; 29.09.1970; 0,06; Костина Зоя Ивановна; Не следует, однако, забывать о; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 3,35; 7,98; 0,93; 88; 12.12.2004; 4,61; Морозов Олег Максимович; Равным образом дальнейшее разв; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 4,29; 5,24; 3,85; 24; 01.11.2019; 7,98; Петровская Елизавета Саввична; Повседневная практика показыва; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 9,28; 3,89; 5,99; 63; 24.01.1970; 8,88; Захарова Кристина Адамовна; Повседневная практика показыва; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 8,85; 4,72; 0,93; 40; 09.10.1984; 2,84; Петровская Елизавета Саввична; Соображения высшего порядка, а; 
С другой стороны новая модель ; Петрова Дарина Семёновна; 0,46; 5,25; 4,5; 90; 03.12.1982; 6,12; Андреев Константин Денисович; Не следует, однако, забывать о; 
Равным образом сложившаяся стр; Петрова Дарина Семёновна; 5,99; 4,61; 5,82; 56; 19.09.2019; 5,14; Калашников Кирилл Кириллович; Равным образом дальнейшее разв; 
Повседневная практика показыва; Петрова Дарина Семёновна; 8,88; 1,18; 5,96; 49; 24.01.1970; 4,61; Симонов Максим Ильич; Задача организации, в особенно; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 5,23; 2,21; 5,14; 25; 29.09.1970; 7,11; Тарасова Анна Фёдоровна; Повседневная практика показыва; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 6,28; 3,35; 4,5; 90; 03.12.1982; 2,04; Петровская Елизавета Саввична; Значимость этих проблем настол; 
Задача организации, в особенно; Петрова Дарина Семёновна; 8,85; 6,49; 5,51; 65; 01.11.2019; 1,17; Коровина Валерия Кирилловна; Дорогие друзья, постоянный кол; 
Повседневная практика показыва; Петрова Дарина Семёновна; 6,49; 0,06; 8,33; 18; 11.05.1990; 5,51; Симонов Максим Ильич; Дорогие друзья, консультация с; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 3,06; 8,56; 8,4; 45; 05.09.1999; 5,5; Максимова Вероника Михайловна; Повседневная практика показыва; 
С другой стороны новая модель ; Петрова Дарина Семёновна; 4,61; 3,9; 5,5; 55; 29.09.1970; 8,19; Попов Максим Леонович; Соображения высшего порядка, а; 
